invoice_id,customer_id,subscription_id,invoice_date,amount_due,amount_paid,payment_status,payment_date
INV00001,CUS0001,SUB0001,2022-01-01,149,149,paid,2022-01-01
INV00002,CUS0001,SUB0001,2022-02-01,149,149,paid,2022-02-04
INV00003,CUS0001,SUB0001,2022-03-01,149,149,paid,2022-03-05
INV00004,CUS0001,SUB0001,2022-04-01,149,149,paid,2022-04-01
INV00005,CUS0001,SUB0001,2022-05-01,149,149,paid,2022-05-05
INV00006,CUS0001,SUB0002,2022-05-01,49,0,failed,
INV00007,CUS0001,SUB0002,2022-06-01,49,49,paid,2022-06-02
INV00008,CUS0001,SUB0002,2022-07-01,49,49,paid,2022-07-04
INV00009,CUS0001,SUB0002,2022-08-01,49,49,paid,2022-08-05
INV00010,CUS0001,SUB0002,2022-09-01,49,49,paid,2022-09-05
INV00011,CUS0001,SUB0002,2022-10-01,49,49,paid,2022-10-04
INV00012,CUS0001,SUB0002,2022-11-01,49,49,paid,2022-11-05
INV00013,CUS0001,SUB0002,2022-12-01,49,0,pending,
INV00014,CUS0001,SUB0002,2023-01-01,49,49,paid,2023-01-05
INV00015,CUS0001,SUB0002,2023-02-01,49,49,paid,2023-02-06
INV00016,CUS0001,SUB0002,2023-03-01,49,49,paid,2023-03-02
INV00017,CUS0001,SUB0002,2023-04-01,49,49,paid,2023-04-03
INV00018,CUS0001,SUB0002,2023-05-01,49,49,paid,2023-05-02
INV00019,CUS0001,SUB0002,2023-06-01,49,49,paid,2023-06-05
INV00020,CUS0001,SUB0002,2023-07-01,49,49,paid,2023-07-01
INV00021,CUS0001,SUB0002,2023-08-01,49,49,paid,2023-08-06
INV00022,CUS0001,SUB0002,2023-09-01,49,49,paid,2023-09-03
INV00023,CUS0001,SUB0002,2023-10-01,49,49,paid,2023-10-03
INV00024,CUS0001,SUB0002,2023-11-01,49,49,paid,2023-11-06
INV00025,CUS0001,SUB0002,2023-12-01,49,49,paid,2023-12-01
INV00026,CUS0001,SUB0002,2024-01-01,49,49,paid,2024-01-03
INV00027,CUS0001,SUB0002,2024-02-01,49,49,paid,2024-02-06
INV00028,CUS0001,SUB0002,2024-03-01,49,49,paid,2024-03-02
INV00029,CUS0001,SUB0002,2024-04-01,49,49,paid,2024-04-05
INV00030,CUS0001,SUB0002,2024-05-01,49,49,paid,2024-05-02
INV00031,CUS0001,SUB0002,2024-06-01,49,0,failed,
INV00032,CUS0001,SUB0002,2024-07-01,49,49,paid,2024-07-01
INV00033,CUS0001,SUB0002,2024-08-01,49,49,paid,2024-08-03
INV00034,CUS0001,SUB0002,2024-09-01,49,49,paid,2024-09-05
INV00035,CUS0001,SUB0002,2024-10-01,49,0,failed,
INV00036,CUS0001,SUB0002,2024-11-01,49,49,paid,2024-11-04
INV00037,CUS0001,SUB0002,2024-12-01,49,49,paid,2024-12-06
INV00038,CUS0002,SUB0003,2024-01-01,49,49,paid,2024-01-03
INV00039,CUS0002,SUB0003,2024-02-01,49,49,paid,2024-02-04
INV00040,CUS0002,SUB0003,2024-03-01,49,49,paid,2024-03-05
INV00041,CUS0002,SUB0003,2024-04-01,49,49,paid,2024-04-04
INV00042,CUS0002,SUB0003,2024-05-01,49,49,paid,2024-05-05
INV00043,CUS0002,SUB0003,2024-06-01,49,49,paid,2024-06-01
INV00044,CUS0002,SUB0003,2024-07-01,49,49,paid,2024-07-06
INV00045,CUS0002,SUB0003,2024-08-01,49,49,paid,2024-08-05
INV00046,CUS0002,SUB0003,2024-09-01,49,49,paid,2024-09-01
INV00047,CUS0002,SUB0003,2024-10-01,49,0,pending,
INV00048,CUS0002,SUB0003,2024-11-01,49,49,paid,2024-11-03
INV00049,CUS0002,SUB0003,2024-12-01,49,49,paid,2024-12-02
INV00050,CUS0003,SUB0004,2022-02-01,49,49,paid,2022-02-06
INV00051,CUS0003,SUB0004,2022-03-01,49,49,paid,2022-03-03
INV00052,CUS0003,SUB0004,2022-04-01,49,49,paid,2022-04-05
INV00053,CUS0003,SUB0004,2022-05-01,49,49,paid,2022-05-04
INV00054,CUS0003,SUB0004,2022-06-01,49,0,pending,
INV00055,CUS0003,SUB0004,2022-07-01,49,49,paid,2022-07-04
INV00056,CUS0003,SUB0004,2022-08-01,49,49,paid,2022-08-06
INV00057,CUS0003,SUB0004,2022-09-01,49,49,paid,2022-09-02
INV00058,CUS0003,SUB0004,2022-10-01,49,49,paid,2022-10-06
INV00059,CUS0003,SUB0004,2022-11-01,49,49,paid,2022-11-06
INV00060,CUS0003,SUB0004,2022-12-01,49,0,failed,
INV00061,CUS0003,SUB0004,2023-01-01,49,49,paid,2023-01-05
INV00062,CUS0003,SUB0005,2023-01-01,149,149,paid,2023-01-01
INV00063,CUS0003,SUB0005,2023-02-01,149,149,paid,2023-02-03
INV00064,CUS0003,SUB0005,2023-03-01,149,149,paid,2023-03-04
INV00065,CUS0003,SUB0005,2023-04-01,149,149,paid,2023-04-01
INV00066,CUS0003,SUB0005,2023-05-01,149,149,paid,2023-05-05
INV00067,CUS0003,SUB0005,2023-06-01,149,149,paid,2023-06-01
INV00068,CUS0003,SUB0005,2023-07-01,149,149,paid,2023-07-03
INV00069,CUS0003,SUB0005,2023-08-01,149,149,paid,2023-08-04
INV00070,CUS0003,SUB0005,2023-09-01,149,149,paid,2023-09-01
INV00071,CUS0003,SUB0005,2023-10-01,149,149,paid,2023-10-05
INV00072,CUS0003,SUB0005,2023-11-01,149,149,paid,2023-11-03
INV00073,CUS0003,SUB0005,2023-12-01,149,149,paid,2023-12-06
INV00074,CUS0003,SUB0005,2024-01-01,149,149,paid,2024-01-01
INV00075,CUS0003,SUB0005,2024-02-01,149,0,pending,
INV00076,CUS0003,SUB0005,2024-03-01,149,149,paid,2024-03-02
INV00077,CUS0003,SUB0005,2024-04-01,149,149,paid,2024-04-03
INV00078,CUS0003,SUB0005,2024-05-01,149,149,paid,2024-05-05
INV00079,CUS0003,SUB0005,2024-06-01,149,149,paid,2024-06-02
INV00080,CUS0003,SUB0005,2024-07-01,149,0,pending,
INV00081,CUS0003,SUB0005,2024-08-01,149,0,failed,
INV00082,CUS0003,SUB0005,2024-09-01,149,149,paid,2024-09-01
INV00083,CUS0003,SUB0005,2024-10-01,149,149,paid,2024-10-02
INV00084,CUS0003,SUB0005,2024-11-01,149,149,paid,2024-11-06
INV00085,CUS0003,SUB0005,2024-12-01,149,149,paid,2024-12-06
INV00086,CUS0004,SUB0006,2023-06-01,149,149,paid,2023-06-04
INV00087,CUS0004,SUB0006,2023-07-01,149,0,pending,
INV00088,CUS0004,SUB0006,2023-08-01,149,149,paid,2023-08-05
INV00089,CUS0004,SUB0006,2023-09-01,149,149,paid,2023-09-02
INV00090,CUS0004,SUB0006,2023-10-01,149,0,failed,
INV00091,CUS0004,SUB0006,2023-11-01,149,149,paid,2023-11-02
INV00092,CUS0004,SUB0006,2023-12-01,149,149,paid,2023-12-03
INV00093,CUS0004,SUB0006,2024-01-01,149,149,paid,2024-01-04
INV00094,CUS0004,SUB0006,2024-02-01,149,149,paid,2024-02-05
INV00095,CUS0004,SUB0006,2024-03-01,149,149,paid,2024-03-01
INV00096,CUS0004,SUB0006,2024-04-01,149,149,paid,2024-04-03
INV00097,CUS0004,SUB0006,2024-05-01,149,149,paid,2024-05-05
INV00098,CUS0004,SUB0006,2024-06-01,149,0,pending,
INV00099,CUS0004,SUB0006,2024-07-01,149,149,paid,2024-07-02
INV00100,CUS0004,SUB0006,2024-08-01,149,149,paid,2024-08-04
INV00101,CUS0004,SUB0006,2024-09-01,149,149,paid,2024-09-05
INV00102,CUS0004,SUB0006,2024-10-01,149,149,paid,2024-10-04
INV00103,CUS0004,SUB0006,2024-11-01,149,149,paid,2024-11-03
INV00104,CUS0004,SUB0006,2024-12-01,149,149,paid,2024-12-06
INV00105,CUS0005,SUB0007,2022-08-01,149,149,paid,2022-08-04
INV00106,CUS0005,SUB0007,2022-09-01,149,149,paid,2022-09-04
INV00107,CUS0005,SUB0007,2022-10-01,149,149,paid,2022-10-06
INV00108,CUS0005,SUB0007,2022-11-01,149,149,paid,2022-11-04
INV00109,CUS0005,SUB0007,2022-12-01,149,149,paid,2022-12-06
INV00110,CUS0005,SUB0007,2023-01-01,149,149,paid,2023-01-06
INV00111,CUS0005,SUB0007,2023-02-01,149,0,pending,
INV00112,CUS0005,SUB0007,2023-03-01,149,149,paid,2023-03-01
INV00113,CUS0005,SUB0007,2023-04-01,149,149,paid,2023-04-05
INV00114,CUS0005,SUB0007,2023-05-01,149,149,paid,2023-05-01
INV00115,CUS0005,SUB0007,2023-06-01,149,149,paid,2023-06-04
INV00116,CUS0005,SUB0007,2023-07-01,149,149,paid,2023-07-04
INV00117,CUS0005,SUB0007,2023-08-01,149,149,paid,2023-08-02
INV00118,CUS0005,SUB0007,2023-09-01,149,149,paid,2023-09-06
INV00119,CUS0006,SUB0008,2023-12-01,349,0,pending,
INV00120,CUS0006,SUB0008,2024-01-01,349,349,paid,2024-01-03
INV00121,CUS0006,SUB0008,2024-02-01,349,349,paid,2024-02-06
INV00122,CUS0006,SUB0008,2024-03-01,349,349,paid,2024-03-01
INV00123,CUS0006,SUB0008,2024-04-01,349,349,paid,2024-04-06
INV00124,CUS0006,SUB0008,2024-05-01,349,349,paid,2024-05-04
INV00125,CUS0006,SUB0008,2024-06-01,349,0,pending,
INV00126,CUS0006,SUB0008,2024-07-01,349,349,paid,2024-07-04
INV00127,CUS0006,SUB0008,2024-08-01,349,349,paid,2024-08-01
INV00128,CUS0006,SUB0008,2024-09-01,349,349,paid,2024-09-02
INV00129,CUS0006,SUB0008,2024-10-01,349,349,paid,2024-10-03
INV00130,CUS0006,SUB0008,2024-11-01,349,0,pending,
INV00131,CUS0006,SUB0009,2024-11-01,899,899,paid,2024-11-04
INV00132,CUS0006,SUB0009,2024-12-01,899,0,pending,
INV00133,CUS0007,SUB0010,2022-08-01,49,49,paid,2022-08-06
INV00134,CUS0007,SUB0010,2022-09-01,49,49,paid,2022-09-04
INV00135,CUS0007,SUB0010,2022-10-01,49,49,paid,2022-10-03
INV00136,CUS0007,SUB0010,2022-11-01,49,0,failed,
INV00137,CUS0007,SUB0010,2022-12-01,49,49,paid,2022-12-01
INV00138,CUS0007,SUB0010,2023-01-01,49,49,paid,2023-01-03
INV00139,CUS0007,SUB0010,2023-02-01,49,49,paid,2023-02-02
INV00140,CUS0007,SUB0010,2023-03-01,49,49,paid,2023-03-05
INV00141,CUS0007,SUB0010,2023-04-01,49,49,paid,2023-04-02
INV00142,CUS0007,SUB0010,2023-05-01,49,49,paid,2023-05-01
INV00143,CUS0007,SUB0010,2023-06-01,49,49,paid,2023-06-04
INV00144,CUS0007,SUB0010,2023-07-01,49,49,paid,2023-07-02
INV00145,CUS0007,SUB0010,2023-08-01,49,49,paid,2023-08-05
INV00146,CUS0007,SUB0010,2023-09-01,49,49,paid,2023-09-04
INV00147,CUS0007,SUB0010,2023-10-01,49,49,paid,2023-10-04
